,asin,overall,reviewText,summary,unixReviewTime,reviewsInNext7Days,saleChange,saleChangeFlag,fear,anger,anticip,trust,surprise,positive,negative,sadness,disgust,joy,anticipation
285,B00KOSOX2O,3,starsi enjoy book n't love first part book think great wonderful intimacy start story fast forward skip lot relationship continue throughout rest book want gap fill especially happen asher 's pool detail lead bad guy obvious know would play love epilogue jax,Jam packed,1401494400,147,0.0,0,0.03225806451612903,0.03225806451612903,0.0,0.16129032258064516,0.03225806451612903,0.3225806451612903,0.0967741935483871,0.03225806451612903,0.03225806451612903,0.12903225806451613,0.12903225806451613
67,B00KOSOX2O,5,minute read synopsis november 've hook series 're introduce player well male player anyway begin book series get know mayson men anticipation build next brother 's story nico final brother get book mean 've previous story get know bit piece fall little bit love new look bring u story nico follow path mayson men dare hope mayson woman time come find boom sophie throw loop 's try return cell phone end 's way town work ca n't even really work oh 's nico mayson definitely work first minute meeting sophie n't know think pierced tattooed giant man definitely intrigue past n't really allow jump trust people yet reason feel instant safety nico course could men give serious alpha male protector mode vibe one general know 'm gush n't even care love 're write much story go learn nico sophie path little different asher trevor cash 's 's worth every flip page e reader case may fortunate enough get read early still ca n't wait til pb available add collection,can't wait to get my hands on this in PB!!,1401494400,147,0.0,0,0.07272727272727272,0.01818181818181818,0.0,0.18181818181818182,0.03636363636363636,0.2727272727272727,0.12727272727272726,0.03636363636363636,0.01818181818181818,0.10909090909090909,0.12727272727272726
78,B00KOSOX2O,4,boom know look like match soft hard light dark blatant innocence rough nico speaking sophie sigh mayson curse strike nico mayson brother leave family business go bounty hunt business cousin crude tattooed boom hit innocent librarian fetish high heel little take back stop full assault mayson men know affection book series author craft beautiful love story yes men top protective cro magnons would anything woman lot face time brother wife kid along little suspense love mayson brother book glad see another series cousins friend men meet throughout book,The Mayson curse strikes again,1401494400,147,0.0,0,0.046875,0.078125,0.0,0.171875,0.03125,0.265625,0.125,0.046875,0.046875,0.109375,0.078125
24,B00KOSOX2O,5,first let say 've wait forever worth wait loved return character new one personally think leo book sayin cough cough ca n't wait hear doings mayson clan highly recommend book anyone,Wow!!!!,1401494400,147,0.0,0,0.0,0.0,0.0,0.14285714285714285,0.0,0.14285714285714285,0.35714285714285715,0.0,0.14285714285714285,0.0,0.21428571428571427
26,B00KOSOX2O,5,love nico soo freak perfect totally hot tattooed pierce freak sweet totally alpha love sophie well great story love epilogue totally recommend anyone n't read series need love mayson men,Freaking fantastic!,1401494400,147,0.0,0,0.0,0.047619047619047616,0.0,0.19047619047619047,0.047619047619047616,0.3333333333333333,0.0,0.0,0.0,0.2857142857142857,0.09523809523809523
27,B00KOSOX2O,5,nico yes love series nico 's story disappoint aurora rise reynolds writes alpha male like nobody else men know want n't stop woman move married baby number honestly love nico possessive way sophie calm strength make feel safe 's boom n't smoke hott story would seem freak sweet,Yummy Nico,1401494400,147,0.0,0,0.0,0.045454545454545456,0.0,0.18181818181818182,0.045454545454545456,0.3181818181818182,0.045454545454545456,0.045454545454545456,0.045454545454545456,0.22727272727272727,0.045454545454545456
215,B00KOSOX2O,5,nico easily become favorite mayson brother quickly devour sophie nico 's story could n't put anyone say alpha love nico know first look sophie boom go slow could accept sophie hard life go bad stuff face new threat nico always become protector nico strong fierce loyal sweet loving determine passionate sexy hell even fell love lot thing happen book n't really want give away let finish say incredible must read hope aurora rise reynolds continue write maysons write next generation mayson boys girl lt,Another amazing book. Nico is by far my favorite Mayson!,1401494400,147,0.0,0,0.08771929824561403,0.07017543859649122,0.0,0.15789473684210525,0.05263157894736842,0.19298245614035087,0.10526315789473684,0.05263157894736842,0.05263157894736842,0.14035087719298245,0.08771929824561403
29,B00KOSOX2O,5,perfect end series really enjoyed nico story say asher still favorite mayson must read,WOW,1401494400,147,0.0,0,0.0,0.0,0.0,0.375,0.0,0.25,0.0,0.0,0.0,0.25,0.125
30,B00KOSOX2O,5,move asher mayson 've replace truly truly loved book nico sophie great couple book make laugh make cry ca n't wait kenton 's book well do aurora,The best book in the series!,1401494400,147,0.0,0,0.0,0.0,0.0,0.0,0.14285714285714285,0.14285714285714285,0.2857142857142857,0.14285714285714285,0.0,0.14285714285714285,0.14285714285714285
133,B00KOSOX2O,5,love series book awesome first three mayson boy yum n't feel need write long review convince buy book 's plain foolish idea 're miss,Awesomesauce!,1401494400,147,0.0,0,0.0,0.0,0.0,0.2,0.0,0.2,0.2,0.0,0.1,0.1,0.2
